Coaster_ID,Name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,Park,status
242,"Wild Mouse",na,na,NULL,NULL,NULL,0.0,na,"Arnolds Park",status.construction
243,"Wild Mouse",Wooden,"Sit Down",NULL,NULL,390.00,0.0,na,"Blackpool Pleasure Beach",status.closed.definitely
244,"Wild Mouse",Steel,"Sit Down",NULL,14.00,370.00,0.0,Mack,"Nagashima Spa Land",status.operating
245,"Wild Mouse",Wooden,"Sit Down",NULL,12.00,400.00,0.0,Hopkins,"Luna Park Sydney",status.operating
246,"Wild Mouse",Steel,"Sit Down",NULL,NULL,NULL,0.0,na,"Santa Cruz Beach Boardwalk",status.closed.definitely
247,"Wild Mouse",Steel,"Sit Down",NULL,NULL,NULL,0.0,Schiff,"Fun Junction",status.closed.definitely
248,"Wild Mouse",Steel,"Sit Down",NULL,NULL,NULL,0.0,na,"Funland Amusement Park",status.closed.definitely
249,"Wild Mouse",Steel,"Sit Down",NULL,NULL,NULL,0.0,na,"Crystal Beach",status.closed.definitely
250,"Wild Mouse",Steel,"Sit Down",NULL,NULL,NULL,0.0,"E&F Miler Industries","Casino Pier",status.closed.definitely
251,"Wild Mouse",na,"Sit Down",47.0,13.00,420.00,NULL,Zamperla,Fantasilandia,status.operating
252,"Wild Mouse",Steel,Spinning,NULL,NULL,NULL,0.0,Reverchon,"Barry Island Pleasure Park",status.operating
253,"Wild Mouse",Steel,"Sit Down",45.0,15.00,370.00,0.0,Maurer,Lagoon,status.operating
254,"Wild Mouse",Steel,"Sit Down",45.0,14.00,370.00,0.0,Mack,Hersheypark,status.operating
255,"Wild Mouse",Steel,Spinning,47.0,13.00,420.00,0.0,Reverchon,"Plopsa Coo",status.closed.definitely
256,"Wild Mouse",Steel,"Sit Down",45.0,14.00,370.00,0.0,Mack,Expoland,status.closed.definitely
257,"Wild Mouse",Steel,"Sit Down",45.0,15.00,370.00,0.0,Maurer,"Dorney Park",status.operating
258,"Wild Mouse",Steel,"Sit Down",47.0,13.00,420.00,0.0,Zamperla,"Beech Bend",status.operating
259,"Wild One",Steel,"Sit Down",85.0,30.00,1219.00,0.0,"John Miller","Six Flags Great America",status.operating
260,Wildfire,Steel,"Sit Down",106.0,37.00,937.00,5.0,B&M,"Silver Dollar City",status.operating
261,Wildfire,Wooden,"Sit Down",113.0,57.00,1300.00,3.0,RMC,Kolmården,status.operating
262,Wodan,Wooden,"Sit Down",100.0,35.00,1050.00,0.0,GCI,Europa-Park,status.operating
263,"Wodan Timbur Coaster",Wooden,"Sit Down",100.0,35.00,1050.00,0.0,GCI,Europa-Park,status.operating
264,"Wood Coaster",Wooden,"Sit Down",99.0,45.00,1468.00,0.0,GCI,"Knight Valley",status.operating
265,"Wooden Warrior",Wooden,"Sit Down",56.0,11.00,378.00,0.0,"Gravity Group","Quassy Amusement Park",status.operating
266,X2,Steel,"4th Dimension",122.0,53.00,1100.00,6.0,Arrow,"Six Flags Magic Mountain",status.operating
267,X-Flight,Steel,Flying,81.0,35.00,1018.00,0.0,Vekoma,"Geauga Lake",status.closed.definitely
268,X-Flight,Steel,Wing,90.0,37.00,915.00,5.0,B&M,"Six Flags Great America",status.operating
269,"Yankee Cannonball",Wooden,"Sit Down",56.0,20.00,610.00,0.0,"Philadelphia Toboggan Coaster","Canobie Lake Park",status.operating
270,"Yukon Striker",Steel,"Sit Down",130.0,75.00,1105.00,4.0,B&M,"Canada's Wonderland",status.operating
271,Zadra,Hybrid,"Sit Down",115.0,63.00,1300.00,3.0,RMC,Energylandia,status.construction
272,"Zippin Pippin",Wooden,"Sit Down",68.0,21.00,715.00,NULL,"Gravity Group","Bay Beach Amusement Park",status.operating
